laptop_name,item_number,brand,platform,processor,processor_type,processor_cores,processor_speed,ram,storage,storage_type,screen_size,resolution,graphics_chipset,graphics,os,retail_price
"ASUS ROG GL553 15.6"" Gaming Laptop",10562717,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1024,HDD,15.6,1920 x 1080,NVIDIA GTX1050Ti,NVIDIA,Windows 10 Home (64-Bit),1498.98
"Lenovo N22 11.6""",10448494,Lenovo,Windows,Intel Celeron N3050,Intel,2,1.6,4,64,HDD,11.6,1366 x 768,Intel HD Graphics,Intel,Windows 10 Pro 64-bit,349.99
"HP 255 G5 15.6"" Notebook",10451114,HP,Windows,AMD A-Series A6-7310,AMD,4,2,4,500,HDD,15.6,1366 x 768,Radeon R4 Graphics,AMD,Windows 10 Pro,503.95
"HP 17.3"" Laptop",10566981,HP,Windows,Intel Core i5-7200U,Intel,2,2.5,8,1024,HDD,17.3,1600 x 900,Intel HD Graphics 620,Intel,Windows 10 Home,839.99
"ASUS ROG Strix GL502 15.6"" Gaming Laptop",10573741,Asus,Windows,Intel Core i7-7700HQ,Intel,4,2.8,16,1152,SSHD,15.6,1920 x 1080,NVIDIA GeForce GTX 1060,NVIDIA, Windows 10 (64bit) ,1899.99
"Acer Aspire F 15.6"" Laptop",10550144,Acer,Windows,Intel Core i7-7500U,Intel,2,2.7,8,1024,HDD,15.6,1920 x 1080,NVIDIA GeForce 940MX,NVIDIA,Windows 10 Home,899.98
"Lenovo Yoga 910 13.9"" Touch Convertible Laptop",10574564,Lenovo,Windows,Intel Core i7-7500U/,Intel,2,2.7,8,256,SSD,13.9,1920 x 1080,Intel HD Graphics 620,Intel,Windows 10 Home 64-Bit,1829.99
"ASUS Zenbook UX303 13.3"" Touchscreen Laptop",10400437,Asus,Windows,Intel Core i7-6500U,Intel,2,2.5,12,512,SSD,13.3,3200 x 1800,Nvidia GT940M 2 GB,NVIDIA,Windows 10 (64-bit),1649.99
"HP OMEN 17.3"" Gaming Laptop",10552524,HP,Windows,Intel Core i7-6700HQ,Intel,4,2.6,16,512,SSD,17.3,3840 x 2160,NVIDIA GeForce GTX 1070,NVIDIA,Windows 10 Home,2369.99
"HP 15.6"" Touchscreen Laptop",10440817,HP,Windows,Intel Core i7-6700HQ,Intel,4,2.6,16,2048,HDD,15.6, 1920 x 1080 ,NVIDIA GeForce GTX960M Graphics,NVIDIA,Windows 10 Home,1499.99
"Lenovo IdeaPad 510 15.6"" Laptop ",10550148,Lenovo,Windows,Intel Core i7-7500U,Intel,4,2.7,8,256,SSD,15.6,1920 x 1080,Intel HD Graphics 620,Intel,Windows 10 Home,1070.98
Lenovo IdeaPad Miix 510-12ISK 80U1006EUS,10551558,Lenovo,Windows,Core i5,Intel,2,2.3,8,256,SSD,12.2,1920 x 1200,Intel HD Graphics 520,Intel,Windows 10 Pro 64-bit ,998.95
"Acer V Nitro 17"" Gaming Laptop",10537324,Acer,Windows,Intel Core i7 6700HQ,Intel,4,2.56,8,1024,HDD,17.3,1920 x 1080,GTX 960,NVIDIA,Windows 10,1299.99
Lenovo ThinkPad T460s 20F9003AUS,10537685,Lenovo,Windows,Core i7,Intel,2,2.6,8,256,SSD,14,2560x1440,HD Graphics 520,Intel,Windows 7 Professional Upgradable to Windows 10 Pro (English),1726.95
"HP Pavilion 15.6"" Laptop",10566983,HP,Windows,AMD A12-9700P,AMD,4,2.5,12,1024,HDD,15.6,1366 x 768,AMD Radeon R7 Graphics,AMD,Windows 10 Home,789.99
